id,company_name,match_title,position_title,match_position_url,time_found,reviewed,comment
b3927fdb-662d-423f-992f-8b3354edde89,Onebrief,Software Tester,"Game Software Tester, Battle Road",https://jobs.ashbyhq.com/onebrief/67d902d6-c8a0-47a9-b1aa-49e05d1d5d60,2026-04-14 19:33:01,,
613f1513-6812-4ce5-b91b-a138f1c62357,Sesame,Test Engineer,"Test Engineer, Manufacturing",https://jobs.ashbyhq.com/sesame/eee561a4-2470-4da5-a514-9bc0e46a15de,2026-04-14 19:33:05,,
ad68e7ca-b358-41f4-8d95-74728103ba1d,UiPath,Automation Developer,Senior Automation Developer,https://jobs.ashbyhq.com/uipath/82424607-a84c-4165-9a1c-8787537895c0,2026-04-14 19:33:09,,
3d5e7577-ca76-4ef6-898a-93cafa371968,Vanta,Quality Engineer,Salesforce Quality Engineer,https://jobs.ashbyhq.com/vanta/b9e2eb5b-5944-4843-9a61-b832013cc795,2026-04-14 19:33:11,,
65509982-8615-4950-905a-0d04e5eb29ee,Network Optix,Test Automation Engineer,"Senior Test Automation Engineer, Python",https://job-boards.greenhouse.io/networkoptix/jobs/5068088007,2026-04-14 19:33:12,,
709902cc-22be-405f-ae94-f4e264ef7867,renewedvision,Quality Assurance,Quality Assurance Engineer - Broadcast/Systems,https://job-boards.greenhouse.io/renewedvision/jobs/5060605008,2026-04-14 19:33:17,,
92232dc1-87ac-47b5-993f-cabfd01dc068,radformation,Quality Assurance,AutoContour Quality Assurance Manager,https://jobs.lever.co/radformation/d3a19340-9878-47ce-8f45-745d90b988fc,2026-04-14 19:33:17,,
d5667833-c9fa-4936-b7e2-9fe1cff4080f,radformation,Quality Assurance,ClearCheck Quality Assurance Manager,https://jobs.lever.co/radformation/b1fcf0c9-09a6-4d00-a9c2-bb622ba2bc0b,2026-04-14 19:33:17,,
ab49c35b-5a4a-4c20-8094-1a16f755300d,novacredit,QA Engineer,QA Engineer - Fixed Term (With Expected Conversion to Permanent),https://job-boards.greenhouse.io/novacredit/jobs/4119600009,2026-04-14 19:33:18,,
db8fd06d-23a2-4816-b07a-735437b0c4a8,Subsplash,Software Development Engineer in Test,Software Development Engineer in Test III,https://job-boards.greenhouse.io/subsplash/jobs/8447432002,2026-04-14 19:33:19,,
6feb0b1f-d941-475b-a51e-36e6b3e4e015,Boomi,Senior Software Quality Engineer,Senior Software Quality Engineer - AI,https://boomi.com/boomi-jobs/?gh_jid=5786913004,2026-04-14 19:33:20,,
67d69bc8-5101-41f8-aa06-ba8d8d93c4c8,Boomi,Software Quality Engineer,Software Quality Engineer - AI,https://boomi.com/boomi-jobs/?gh_jid=5789831004,2026-04-14 19:33:20,,
2f39329a-3ccd-410c-bdbb-baeb70a81494,Engineered Intelligence,QA Specialist,Senior Software QA Specialist,https://engineeredintel.bamboohr.com/careers/67,2026-04-14 19:33:21,,
